resample	median_variance
835	119.854167
836	120.458333
837	81.947917
838	89.916667
839	123.743750
840	97.333333
841	89.879167
842	64.583333
843	77.012500
844	106.041667
845	90.966667
846	115.916667
847	85.333333
848	99.364583
849	80.208333
850	84.239583
851	160.364583
852	107.733333
853	73.452083
854	83.447917
855	113.625000
856	135.333333
857	119.656250
858	111.625000
859	92.583333
860	75.500000
861	76.458333
862	88.666667
863	68.458333
864	70.479167
865	103.916667
866	83.333333
867	132.333333
868	109.416667
869	71.114583
870	98.166667
871	89.656250
872	91.791667
873	72.720833
874	80.031250
875	64.014583
876	71.208333
877	80.833333
878	120.333333
879	142.004167
880	100.166667
881	83.208333
882	80.579167
883	80.833333
884	99.166667
885	101.281250
886	78.166667
887	86.152083
888	100.041667
889	91.979167
890	112.114583
891	156.500000
892	73.239583
893	97.166667
894	96.768750
895	88.666667
896	133.250000
897	96.350000
898	132.666667
899	76.739583
900	130.000000
901	99.562500
902	81.708333
903	116.458333
904	82.750000
905	76.512500
906	100.947917
907	110.270833
908	71.614583
909	80.708333
910	100.631250
911	45.254167
912	117.416667
913	106.431250
914	83.125000
915	76.458333
916	95.791667
917	83.458333
918	132.666667
919	68.208333
920	108.739583
921	83.729167
922	120.345833
923	115.708333
924	75.000000
925	116.662500
926	95.989583
927	87.502083
928	70.833333
929	73.625000
930	72.125000
931	103.552083
932	95.458333
933	88.541667
934	90.208333
935	110.875000
936	118.325000
937	95.208333
938	125.916667
939	105.625000
940	109.708333
941	68.322917
942	73.291667
943	85.031250
944	144.322917
945	72.083333
946	116.458333
947	107.541667
948	119.875000
949	107.250000
950	127.822917
951	83.333333
952	100.504167
953	66.908333
954	94.697917
955	115.791667
956	82.375000
957	98.458333
958	110.904167
959	88.875000
960	158.479167
961	100.572917
962	86.697917
963	85.833333
964	80.154167
965	95.775000
966	110.114583
967	97.031250
968	65.208333
969	94.879167
970	79.083333
971	94.791667
972	76.837500
973	83.104167
974	111.387500
975	86.697917
976	87.916667
977	62.291667
978	100.833333
979	88.104167
980	75.345833
981	72.366667
982	118.645833
983	106.333333
984	81.229167
985	113.041667
986	90.087500
987	94.250000
988	83.333333
989	158.795833
990	102.822917
991	83.333333
992	117.114583
993	127.516667
994	70.166667
995	85.454167
996	144.833333
997	60.250000
998	103.281250
999	113.083333
1000	88.250000
