permutation	qualifying_units	median_variance
609	78	1142.0583333333334
610	76	1050.2916666666665
611	77	967.0
612	73	1073.5833333333333
613	74	979.2916666666667
614	75	735.0
615	76	595.0595238095239
616	74	872.6458333333333
617	80	1121.8916666666667
618	79	661.0
619	78	832.8541666666667
620	81	1073.5833333333333
621	76	979.2916666666667
622	77	991.5833333333334
623	78	525.0
624	74	908.25
625	72	1280.7666666666667
626	79	1249.2
627	77	1073.5833333333333
628	74	1245.5833333333335
629	75	991.5833333333334
630	76	576.5166666666667
631	83	824.9166666666666
632	77	920.375
633	73	1073.5833333333333
634	73	1249.2
635	74	979.2916666666667
636	81	936.175
637	73	645.3333333333334
638	81	936.175
639	77	992.25
640	76	778.6666666666667
641	74	938.3333333333333
642	76	979.2916666666667
643	74	880.5458333333333
644	78	943.6875
645	75	824.9166666666666
646	75	920.375
647	81	992.3333333333334
648	74	1050.6833333333334
649	79	683.675
650	76	802.025
651	78	979.2916666666667
652	74	1065.65625
653	77	824.9166666666666
654	76	908.25
655	77	544.7857142857143
656	73	661.0
657	74	645.8333333333334
658	71	683.675
659	76	1184.4333333333334
660	74	802.025
661	75	683.675
662	77	967.0
663	78	915.0208333333333
664	76	1090.0833333333333
665	74	672.3375
666	79	1249.2
667	81	920.375
668	74	1073.5
669	77	824.9166666666666
670	80	796.6708333333333
671	78	1167.8645833333333
672	72	991.9166666666667
673	75	991.5833333333334
674	72	938.3333333333333
675	77	735.0
676	80	672.3375
677	73	507.7
678	74	1101.0
679	76	979.2916666666667
680	75	683.675
681	78	664.5041666666666
682	78	409.66666666666663
683	74	872.6458333333333
684	76	1121.8916666666667
685	79	646.3333333333334
686	83	991.5833333333334
687	75	1073.5833333333333
688	77	683.675
689	77	909.6666666666666
690	72	1161.3916666666667
691	78	979.2916666666667
692	74	802.025
693	75	1073.5833333333333
694	73	909.6666666666666
695	74	594.3166666666666
696	68	979.2916666666667
697	77	683.675
698	75	991.5833333333334
699	74	610.8333333333334
700	77	683.675
701	80	1261.7666666666667
702	76	581.0595238095239
703	73	1249.2
704	74	1032.5833333333333
705	75	1073.5833333333333
706	80	1073.3333333333333
707	73	967.0
708	73	683.675
709	76	979.2916666666667
710	74	672.3375
711	76	1209.7
712	77	967.0
713	82	943.6875
714	75	646.3333333333334
715	79	991.5833333333334
716	81	936.175
717	77	683.675
718	77	617.3333333333334
719	74	822.5041666666666
720	74	1031.0
721	75	991.5833333333334
722	76	1151.2666666666667
723	76	796.6708333333333
724	74	672.3375
725	75	1073.5833333333333
726	76	1032.5833333333333
727	75	967.0
728	82	1161.3916666666667
729	78	1020.2916666666666
730	73	1073.5833333333333
731	80	650.5041666666666
732	78	766.8791666666666
733	73	1170.2
734	72	742.9583333333333
735	81	992.25
736	73	1132.3333333333333
737	76	979.2916666666667
738	79	824.9166666666666
739	77	967.0
740	80	1080.8916666666667
741	73	1190.25
742	80	1076.65625
743	79	936.175
744	79	1053.2291666666667
745	77	824.9166666666666
746	75	1073.5833333333333
747	74	1007.7916666666667
748	82	663.9583333333334
749	74	1032.5833333333333
